audit_id,date,floor,ward,department,checklist_type,status,priority,assigned_staff,completion_time,image_uploaded,escalation_status,risk_score,compliance_score
A0001,2025-01-30,3,OT,Outpatient,Safety Audit,Pending,Critical,S003,17,No,Open,66,94
A0002,2025-01-20,4,General Ward,Outpatient,Hygiene Audit,Pass,Medium,S014,26,No,Closed,28,95
A0003,2025-03-15,1,OPD,Patient Care,Hygiene Audit,Fail,Low,S007,16,No,Closed,94,66
A0004,2025-06-06,4,Laboratory,Diagnostics,Waste Audit,Pending,Critical,S023,37,No,Open,82,98
A0005,2025-04-17,5,General Ward,Diagnostics,Hygiene Audit,Pass,Medium,S013,60,No,Closed,43,82
A0006,2025-06-14,2,General Ward,Patient Care,Fire Safety Audit,Pass,High,S023,25,No,Open,56,60
A0007,2025-05-02,3,OPD,Outpatient,Hygiene Audit,Pass,Medium,S022,44,No,Closed,49,97
A0008,2025-04-05,4,OT,Diagnostics,Safety Audit,Pending,Critical,S015,18,Yes,Open,75,79
A0009,2025-06-23,1,OPD,Critical Care,Safety Audit,Pass,Medium,S017,45,Yes,Open,44,93
A0010,2025-06-10,2,Laboratory,Diagnostics,Waste Audit,Pass,Critical,S016,23,No,Open,63,89
A0011,2025-05-16,5,General Ward,Critical Care,Waste Audit,Pass,Low,S008,26,No,Closed,95,82
A0012,2025-04-22,2,OPD,Critical Care,Waste Audit,Pending,Low,S004,28,No,Closed,47,88
A0013,2025-03-12,4,ICU,Critical Care,Safety Audit,Pending,Medium,S016,36,Yes,Closed,56,85
A0014,2025-05-18,1,OPD,Outpatient,Fire Safety Audit,Pending,Critical,S025,42,No,Open,54,78
A0015,2025-03-05,3,OPD,Diagnostics,Fire Safety Audit,Pass,Critical,S017,33,No,Open,30,96
A0016,2025-04-05,4,OT,Critical Care,Fire Safety Audit,Pending,High,S021,33,No,Open,39,91
A0017,2025-02-07,5,General Ward,Diagnostics,Hygiene Audit,Pass,High,S006,18,Yes,Closed,76,90
A0018,2025-02-09,1,OT,Diagnostics,Safety Audit,Pending,High,S029,56,Yes,Open,89,67
A0019,2025-04-13,1,General Ward,Diagnostics,Hygiene Audit,Pending,High,S017,34,Yes,Closed,40,65
A0020,2025-01-23,3,OPD,Outpatient,Hygiene Audit,Fail,Low,S008,59,No,Open,39,92
A0021,2025-03-15,2,General Ward,Critical Care,Fire Safety Audit,Pending,High,S013,54,Yes,Closed,56,84
A0022,2025-05-10,1,OT,Outpatient,Safety Audit,Pending,Critical,S014,11,No,Open,66,96
A0023,2025-03-02,1,Laboratory,Outpatient,Safety Audit,Fail,Medium,S006,49,No,Open,35,95
A0024,2025-02-16,4,OPD,Surgery,Waste Audit,Fail,Medium,S006,19,Yes,Closed,45,72
A0025,2025-05-24,1,General Ward,Surgery,Hygiene Audit,Pending,Critical,S006,13,Yes,Open,36,97
A0026,2025-05-06,1,General Ward,Outpatient,Waste Audit,Pass,Low,S012,40,Yes,Open,31,60
A0027,2025-04-20,2,OT,Patient Care,Safety Audit,Pass,High,S011,47,No,Closed,88,80
A0028,2025-06-14,1,OT,Patient Care,Fire Safety Audit,Fail,High,S023,51,Yes,Closed,56,99
A0029,2025-02-23,4,ICU,Outpatient,Hygiene Audit,Pending,Low,S028,26,No,Closed,49,94
A0030,2025-05-06,5,OPD,Diagnostics,Hygiene Audit,Fail,Low,S030,15,No,Closed,29,79
A0031,2025-04-16,5,OT,Critical Care,Waste Audit,Fail,Medium,S030,27,Yes,Open,31,86
A0032,2025-01-08,5,General Ward,Patient Care,Safety Audit,Pending,Medium,S023,34,Yes,Closed,87,95
A0033,2025-01-24,4,OPD,Critical Care,Hygiene Audit,Pending,High,S015,11,Yes,Open,77,80
A0034,2025-05-07,1,OT,Critical Care,Safety Audit,Pass,Medium,S029,54,No,Closed,93,83
A0035,2025-03-07,4,OPD,Patient Care,Waste Audit,Pending,High,S026,35,No,Closed,86,80
A0036,2025-01-12,1,ICU,Diagnostics,Hygiene Audit,Fail,Medium,S030,60,No,Closed,73,100
A0037,2025-05-17,3,OT,Critical Care,Hygiene Audit,Pass,Critical,S009,6,No,Open,29,95
A0038,2025-02-23,4,General Ward,Outpatient,Hygiene Audit,Fail,Critical,S027,22,No,Open,56,65
A0039,2025-03-07,1,Laboratory,Outpatient,Safety Audit,Fail,Critical,S027,57,No,Open,57,83
A0040,2025-06-03,1,Laboratory,Outpatient,Safety Audit,Pass,Low,S001,59,No,Open,29,73
A0041,2025-06-12,5,Laboratory,Surgery,Hygiene Audit,Fail,High,S020,14,Yes,Closed,54,94
A0042,2025-03-15,1,General Ward,Outpatient,Safety Audit,Fail,Medium,S007,45,Yes,Open,49,94
A0043,2025-04-28,5,OT,Surgery,Fire Safety Audit,Fail,Medium,S016,9,Yes,Open,85,85
A0044,2025-06-19,1,ICU,Patient Care,Safety Audit,Fail,High,S009,33,Yes,Open,57,76
A0045,2025-04-25,1,OT,Surgery,Safety Audit,Pending,Low,S017,14,No,Closed,26,65
A0046,2025-05-22,5,OPD,Surgery,Hygiene Audit,Fail,Low,S025,39,No,Open,48,79
A0047,2025-02-19,3,Laboratory,Outpatient,Safety Audit,Pass,Critical,S008,20,No,Closed,93,93
A0048,2025-01-23,1,OPD,Patient Care,Fire Safety Audit,Pending,Low,S019,11,Yes,Closed,89,77
A0049,2025-01-06,5,ICU,Surgery,Fire Safety Audit,Fail,High,S010,20,Yes,Open,35,85
A0050,2025-04-20,2,OPD,Surgery,Waste Audit,Pass,Medium,S021,39,Yes,Closed,89,70
A0051,2025-01-30,3,General Ward,Outpatient,Hygiene Audit,Fail,Low,S025,31,No,Open,61,91
